# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.181818,-0.061675,0.000000,-0.000000,-1.738292,2.867247,-1.946858,0.609849,-0.072742,-0.326619,0.000000,-0.000000,-1.816835,3.287076,-2.294387,0.728599,-0.087801,0.380976,-0.000000,0.000000,-1.939351,3.011618,-1.974270,0.608069,-0.071909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-0.732043,-0.308024,0.081142,-0.405147,0.558491,-0.348070,0.102408,-0.011573,-0.216138,0.490876,0.191309,-0.640511,0.856811,-0.580021,0.184034,-0.022152,-0.457495,-0.186888,0.300837,-0.360619,0.549422,-0.369550,0.112918,-0.013153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-1.456006,-0.335124,0.022839,-0.007035,-0.054482,0.065569,-0.027621,0.004003,0.490464,-0.077576,-0.215577,-0.114990,0.169928,-0.074499,0.014916,-0.000986,0.085737,0.495552,-0.022930,-0.133339,0.032874,0.010048,-0.009003,0.001739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-2.181719,-0.341214,-0.001627,0.076216,-0.132765,0.092647,-0.029286,0.003488,-0.354896,-0.361205,0.194509,0.138371,-0.235195,0.194316,-0.074624,0.010470,0.352726,-0.362212,-0.167966,0.140858,-0.166552,0.141693,-0.051110,0.006646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-2.908540,-0.332299,-0.005627,0.010738,-0.026401,0.032310,-0.016101,0.002750,-0.087959,0.478138,0.069887,0.138803,-0.611837,0.572443,-0.226165,0.032603,-0.491982,-0.091893,0.240905,0.086674,-0.156943,0.107786,-0.038759,0.005370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-3.639161,-0.339047,0.049012,0.155137,-0.575850,0.554076,-0.206883,0.027082,0.443821,-0.266159,-0.066879,0.927987,-2.613890,2.398289,-0.889182,0.117126,0.210042,0.446657,-0.078535,0.055966,-0.386190,0.346390,-0.116136,0.013716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-4.132054,0.023949,-0.038694,0.010563,-0.243843,0.418248,-0.205695,0.032078,0.173740,0.503446,-0.194391,0.473851,-0.189630,-0.234171,0.171179,-0.030120,0.467100,0.011983,-0.000483,-0.070515,0.117041,-0.078544,0.024103,-0.002802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-3.639999,0.468012,-0.105976,0.507069,-0.693034,0.432986,-0.128528,0.014716,0.769903,0.048087,0.082462,-0.659438,1.056127,-0.732385,0.235639,-0.028833,0.468038,0.000291,0.006806,-0.003594,-0.019727,0.026175,-0.011560,0.001720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-2.554985,0.498813,-0.019089,0.044045,-0.031928,0.006079,0.001797,-0.000577,0.773520,0.015120,0.024055,-0.226835,0.401286,-0.305022,0.106837,-0.014129,0.468594,-0.005873,-0.005448,0.032892,-0.006365,-0.031784,0.022300,-0.004203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-1.465070,0.503957,-0.000016,-0.029894,0.038284,-0.011763,-0.002667,0.001280,0.777256,0.016458,-0.033454,-0.257899,0.706710,-0.650418,0.254325,-0.036047,0.472100,0.015901,-0.057025,-0.237008,0.751719,-0.723256,0.290006,-0.041871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,-0.376639,0.509785,0.098119,0.205161,-1.321782,1.278850,-0.478601,0.063731,0.782868,0.078588,-0.069003,-0.812985,1.608772,-1.465165,0.603352,-0.090025,0.478250,0.077596,-0.153903,-1.074000,2.856948,-2.530618,0.949360,-0.129330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
