# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.220000,0.054854,0.000000,0.000000,1.824197,-2.102361,-0.355531,1.401481,-0.489789,0.456681,-0.000000,0.000000,-3.104258,2.930101,0.948502,-2.037637,0.636546,0.162022,-0.000000,0.000000,4.104462,-5.675229,-0.398585,3.406816,-1.235388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220000,0.399820,0.358919,0.218086,-0.806147,0.664228,0.272453,-0.538311,0.170230,-0.283571,-0.423050,0.446379,0.667032,-0.358901,-0.382599,0.319374,-0.062662,0.229010,-0.577538,0.194373,-1.585900,1.917458,0.364821,-1.260553,0.424760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220000,0.816118,0.333574,-0.079627,0.139723,0.018408,-0.147501,0.074385,-0.006574,0.047791,0.532522,-0.208523,-0.038914,-0.352518,0.058400,0.262345,-0.111633,-0.279960,0.146119,0.358084,0.356324,-0.457635,-0.288453,0.408802,-0.110691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220000,1.219228,0.317562,0.016434,0.225836,-0.413328,0.013506,0.302409,-0.131804,0.109297,-0.385993,-0.056827,-0.018058,0.208205,0.098326,-0.180984,0.047896,0.187557,0.166191,-0.360458,0.093587,-0.291882,0.103541,0.237920,-0.123170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220000,1.628967,0.375265,-0.034649,-0.827231,1.425322,0.376320,-1.630995,0.664206,-0.156084,0.166725,0.226203,-0.397634,0.505821,0.067866,-0.566306,0.251916,-0.054013,-0.253336,0.170934,-0.699369,1.273235,0.361611,-1.469452,0.586394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
