# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.163636,-0.061441,0.000000,0.000000,-1.761140,2.928059,-2.004927,0.633522,-0.076238,0.167067,-0.000000,-0.000000,-2.623738,4.345001,-2.944902,0.926442,-0.111395,-0.473133,-0.000000,-0.000000,-0.598016,1.318729,-0.974746,0.315782,-0.038365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-0.725753,-0.307281,0.079424,-0.418108,0.591494,-0.376521,0.112915,-0.012992,-0.504727,0.075362,0.354790,-0.649041,0.950759,-0.651882,0.205909,-0.024735,0.031524,0.509466,0.032915,-0.273701,0.229407,-0.121402,0.032625,-0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-1.443956,-0.334289,0.024171,-0.016417,-0.042210,0.059218,-0.026324,0.003939,0.305478,0.402992,-0.122616,-0.197627,0.173429,-0.083940,0.021321,-0.002050,0.393965,-0.311835,-0.190465,0.081200,-0.053433,0.052294,-0.019244,0.002436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-2.163613,-0.341424,-0.000434,0.079655,-0.145383,0.105296,-0.034474,0.004249,0.154675,-0.480492,-0.068385,0.120742,-0.095406,0.078639,-0.028979,0.003771,-0.474843,-0.155806,0.232183,0.036961,-0.027212,0.000768,0.000409,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-2.884448,-0.333253,-0.003087,0.026421,-0.073020,0.077158,-0.034273,0.005410,-0.480185,0.134228,0.229238,-0.001800,-0.010493,-0.030012,0.017804,-0.002954,0.136156,0.481522,-0.058467,-0.063126,-0.093079,0.117352,-0.050563,0.007737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-3.609372,-0.345042,0.052858,0.213078,-0.670142,0.605707,-0.219467,0.028352,0.383058,0.331269,-0.205546,-0.156553,0.273755,-0.213153,0.074673,-0.009375,0.319551,-0.398920,-0.113402,0.316805,-0.717140,0.650226,-0.238958,0.030990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-4.138205,0.018829,0.050686,0.056855,-0.601811,0.745057,-0.320096,0.046314,0.024220,-0.510042,0.089769,0.170391,-0.898638,0.996200,-0.411921,0.058678,-0.386679,0.025467,-0.033785,-0.087238,0.212106,-0.166408,0.056835,-0.007214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-3.704068,0.487305,-0.126038,0.407450,-0.476584,0.267553,-0.072952,0.007777,-0.625649,-0.029482,-0.123083,0.591298,-0.837666,0.542171,-0.166310,0.019632,-0.385904,0.002402,0.002698,-0.061405,0.140293,-0.124319,0.048085,-0.006793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-2.628646,0.503175,-0.004611,-0.004816,0.003648,0.006496,-0.005825,0.001223,-0.630465,-0.003471,-0.019791,0.090782,-0.143267,0.106847,-0.037834,0.005105,-0.384991,0.015094,-0.004677,-0.136670,0.246034,-0.166695,0.049369,-0.005331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-1.548551,0.496081,0.027262,0.088723,-0.337253,0.351282,-0.148963,0.022494,-0.632782,-0.008317,0.014056,0.104275,-0.267313,0.234860,-0.088687,0.012239,-0.389220,-0.005203,0.055097,0.100863,-0.464285,0.490796,-0.206951,0.030912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.163636,-0.472707,0.462336,0.141234,0.691966,-2.007531,1.639739,-0.562554,0.070897,-0.632583,-0.020156,0.004470,0.207441,-0.636247,0.880346,-0.447190,0.074673,-0.393790,-0.059214,0.131293,0.846023,-2.323891,2.094197,-0.796133,0.109711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
