# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.554545,0.051386,-0.000000,0.000000,1.902691,-1.657844,-1.128014,0.209458,1.232528,-0.464985,0.000000,0.000000,3.449778,-2.727113,-1.921748,0.283246,1.981957,0.135488,0.000000,-0.000000,5.966580,-7.159251,-3.757527,1.623794,5.128048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,0.185892,0.407916,-0.162686,-0.449627,0.862366,0.230520,-0.247977,-0.488216,-0.195161,0.906280,0.014598,-0.983059,0.973209,0.181958,-0.287316,-0.453881,0.408820,0.399096,-1.740435,1.042532,0.877703,-0.606173,-0.587914,-0.068407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,0.363951,0.332511,0.184151,-0.289567,-0.075004,0.101101,0.103112,0.041063,0.230159,0.582633,-0.422290,-0.746996,0.271939,0.353055,0.089389,-0.195576,0.305717,-0.456233,-0.329616,-1.106282,1.617230,0.782523,-0.316899,-1.073234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,0.557462,0.307054,-0.072073,0.342563,-0.184842,-0.158021,-0.016116,0.114095,0.339682,-0.234122,-0.649764,0.599472,-0.248313,-0.131926,0.039019,0.158386,-0.069854,-0.687433,0.516910,0.254295,-0.505017,-0.048942,0.195975,0.261473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,0.739596,0.360502,-0.009917,-0.230719,0.222516,0.133603,-0.022649,-0.145331,0.085553,-0.588963,-0.105828,0.300295,0.269752,0.029201,-0.125108,-0.190661,-0.289150,-0.132270,0.490637,0.517426,-0.432279,-0.381674,-0.021716,0.316189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,0.922163,0.314898,0.052477,0.115437,-0.206242,-0.092397,0.046761,0.142424,-0.202059,-0.309659,0.553834,-0.069320,-0.068810,-0.008646,0.026669,0.039079,-0.179808,0.471438,0.220366,-0.642684,0.407432,0.207420,-0.076890,-0.275645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,1.111919,0.338930,-0.070407,0.004711,0.148999,0.038170,-0.059859,-0.115387,-0.220840,0.205962,0.377672,-0.028232,-0.203083,-0.126597,0.019659,0.139713,0.082520,0.418623,-0.155980,-0.275676,-0.188781,0.066915,0.148653,0.130913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,1.291513,0.342550,0.065458,-0.133480,-0.052386,0.046295,0.068703,0.050471,-0.018317,0.435025,-0.078148,-0.338530,0.125152,0.100401,0.003117,-0.081653,0.211777,-0.032411,-0.493774,0.451667,-0.139150,-0.162488,-0.021621,0.126868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,1.479125,0.310054,-0.021272,0.294063,-0.194995,-0.196635,-0.028056,0.147647,0.157036,0.153241,-0.324702,-0.011799,-0.045623,0.036953,0.053964,0.035694,0.098719,-0.316087,-0.167160,-0.010496,0.467137,0.154514,-0.168472,-0.364554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,1.667483,0.352991,-0.104373,-0.350156,0.718198,0.391807,-0.195801,-0.666734,0.139918,-0.207170,-0.249633,0.302839,-0.104830,-0.114613,0.008638,0.137839,-0.088260,-0.246678,0.300335,-0.280389,0.221429,0.323699,0.027056,-0.334891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554545,1.843442,0.392025,0.294401,-0.426821,-1.293383,-0.062785,0.942310,1.427858,-0.013540,-0.299573,0.029356,0.203542,0.498346,-0.004300,-0.420235,-0.621118,-0.147209,0.072187,0.464016,0.190042,-1.748470,-0.445896,0.928504,1.715481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
