# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.181818,0.061689,-0.000000,-0.000000,1.737397,-2.865063,1.944919,-0.609108,0.072638,-0.326619,0.000000,-0.000000,-1.816835,3.287076,-2.294387,0.728599,-0.087801,0.380976,-0.000000,0.000000,-1.939351,3.011618,-1.974270,0.608069,-0.071909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,0.732052,0.308199,-0.081293,0.403047,-0.553657,0.344011,-0.100918,0.011372,-0.216138,0.490876,0.191309,-0.640511,0.856811,-0.580021,0.184034,-0.022152,-0.457495,-0.186888,0.300837,-0.360619,0.549422,-0.369550,0.112918,-0.013153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,1.456015,0.335406,-0.022987,0.003620,0.061963,-0.071711,0.029843,-0.004300,0.490464,-0.077576,-0.215577,-0.114990,0.169928,-0.074499,0.014916,-0.000986,0.085737,0.495552,-0.022930,-0.133339,0.032874,0.010048,-0.009003,0.001739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,2.181726,0.341609,0.001510,-0.080904,0.142590,-0.100516,0.032081,-0.003856,-0.354896,-0.361205,0.194509,0.138371,-0.235195,0.194316,-0.074624,0.010470,0.352726,-0.362212,-0.167966,0.140858,-0.166552,0.141693,-0.051110,0.006646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,2.908538,0.332738,0.005642,-0.015928,0.036695,-0.040316,0.018886,-0.003112,-0.087959,0.478138,0.069887,0.138803,-0.611837,0.572443,-0.226165,0.032603,-0.491982,-0.091893,0.240905,0.086674,-0.156943,0.107786,-0.038759,0.005370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,3.639149,0.339419,-0.048859,-0.159609,0.584311,-0.560537,0.209112,-0.027370,0.443821,-0.266159,-0.066879,0.927987,-2.613890,2.398289,-0.889182,0.117126,0.210042,0.446657,-0.078535,0.055966,-0.386190,0.346390,-0.116136,0.013716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,4.132052,-0.023647,0.038729,-0.014232,0.251095,-0.423902,0.207670,-0.032336,0.173740,0.503446,-0.194391,0.473851,-0.189630,-0.234171,0.171179,-0.030120,0.467100,0.011983,-0.000483,-0.070515,0.117041,-0.078544,0.024103,-0.002802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,3.639997,-0.467739,0.105980,-0.510496,0.700060,-0.438608,0.130533,-0.014982,0.769903,0.048087,0.082462,-0.659438,1.056127,-0.732385,0.235639,-0.028833,0.468038,0.000291,0.006806,-0.003594,-0.019727,0.026175,-0.011560,0.001720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,2.554993,-0.498477,0.018957,-0.048157,0.040770,-0.013280,0.000795,0.000232,0.773520,0.015120,0.024055,-0.226835,0.401286,-0.305022,0.106837,-0.014129,0.468594,-0.005873,-0.005448,0.032892,-0.006365,-0.031784,0.022300,-0.004203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,1.465078,-0.503511,-0.000118,0.024532,-0.026996,0.002690,0.005898,-0.001706,0.777256,0.016458,-0.033454,-0.257899,0.706710,-0.650418,0.254325,-0.036047,0.472100,0.015901,-0.057025,-0.237008,0.751719,-0.723256,0.290006,-0.041871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.181818,0.376638,-0.509249,-0.098074,-0.211228,1.333360,-1.287548,0.481536,-0.064102,0.782868,0.078588,-0.069003,-0.812985,1.608772,-1.465165,0.603352,-0.090025,0.478250,0.077596,-0.153903,-1.074000,2.856948,-2.530618,0.949360,-0.129330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
