# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.480000,0.068663,0.000000,-0.000000,1.376584,-2.016490,1.215199,-0.337667,0.035709,-0.335062,-0.000000,-0.000000,-1.369273,2.227774,-1.378331,0.386149,-0.041006,0.374194,-0.000000,-0.000000,-1.588116,2.185096,-1.263102,0.343381,-0.035880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,0.831439,0.300837,-0.064265,0.381580,-0.522888,0.315457,-0.088833,0.009541,-0.074237,0.533835,0.107621,-0.534265,0.624940,-0.378696,0.108847,-0.011858,-0.500006,-0.038470,0.312193,-0.349297,0.463375,-0.288061,0.080660,-0.008528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,1.654355,0.321750,-0.012771,0.129146,-0.204376,0.136423,-0.041712,0.004806,0.357696,-0.332174,-0.168605,-0.121358,0.319539,-0.214074,0.065674,-0.007669,0.347138,0.366824,-0.157292,-0.153594,0.139104,-0.070367,0.019690,-0.002154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,2.478917,0.322192,0.014013,0.130027,-0.297555,0.238198,-0.081955,0.010278,-0.495031,0.075368,0.223541,-0.236816,0.492369,-0.405593,0.139206,-0.017301,-0.054793,-0.495171,0.027996,0.052607,0.060470,-0.054264,0.017631,-0.002168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,3.300658,0.297012,0.079465,0.435051,-1.116016,0.929969,-0.325783,0.041051,0.434621,0.321589,-0.330437,-0.737581,1.758264,-1.437235,0.501972,-0.063282,-0.260330,0.433832,0.107206,-0.176621,0.273984,-0.233254,0.081473,-0.009926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
