# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.480000,0.068663,0.000000,-0.000000,1.376584,-2.016490,1.215199,-0.337667,0.035709,0.491819,-0.000000,0.000000,-0.697288,0.791517,-0.414271,0.107348,-0.010927,0.102971,0.000000,0.000000,1.982563,-3.027039,1.828923,-0.507258,0.053584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,0.831439,0.300837,-0.064265,0.381580,-0.522888,0.315457,-0.088833,0.009541,-0.395941,-0.299361,0.216854,-0.043588,0.102944,-0.069937,0.018516,-0.001819,0.314339,-0.443427,-0.249924,0.639397,-0.773655,0.471207,-0.134036,0.014439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,1.654355,0.321750,-0.012771,0.129146,-0.204376,0.136423,-0.041712,0.004806,0.121914,0.484686,-0.053565,-0.083685,-0.012008,0.024044,-0.008213,0.001026,-0.483180,0.105108,0.222772,0.173560,-0.325496,0.203954,-0.061100,0.007029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,2.478917,0.322192,0.014013,0.130027,-0.297555,0.238198,-0.081955,0.010278,0.200420,-0.462599,-0.091396,0.128492,-0.120414,0.101524,-0.036879,0.004709,0.456241,0.184902,-0.209093,0.156041,-0.412955,0.347219,-0.119584,0.014930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480000,3.300658,0.297012,0.079465,0.435051,-1.116016,0.929969,-0.325783,0.041051,-0.442741,0.221323,0.258265,0.162578,-0.553415,0.458746,-0.163392,0.021163,-0.246282,-0.492436,0.233239,0.701011,-1.617166,1.333596,-0.467306,0.058866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
